ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats,crime_rate,lag_1,lag_7
13833393,JJ251596,5/12/2025 0:00,063XX S MARYLAND AVE,501A,OTHER OFFENSE,ANIMAL ABUSE / NEGLECT,SIDEWALK,False,False,312,3,20,42,26,1183008.0,1862942.0,2025,5/19/2025 15:43,41.77911408,-87.60461894,"(41.779114078, -87.604618939)",53.0,22260.0,9.0,347.0,4.0,60.0,18.0,277.0,30.0,6.666666666666667,20.0
13833801,JJ252397,5/12/2025 0:00,032XX W 63RD ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,823,8,14,66,08B,1155844.0,1862670.0,2025,5/19/2025 15:43,41.77895619,-87.70421245,"(41.77895619, -87.704212447)",44.0,21867.0,64.0,344.0,6.0,58.0,13.0,276.0,28.333333333333336,18.333333333333336,23.333333333333336
13834213,JJ252844,5/12/2025 0:00,008XX N FRANCISCO AVE,560,ASSAULT,SIMPLE,APARTMENT,False,True,1211,12,36,24,08A,1156896.0,1905579.0,2025,5/19/2025 15:43,41.89668236,-87.69919431,"(41.896682364, -87.699194306)",10.0,21560.0,25.0,544.0,49.0,4.0,15.0,64.0,31.666666666666668,16.666666666666668,16.666666666666668
13838517,JJ258298,5/12/2025 0:00,038XX W MONROE ST,1754,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,False,True,1122,11,28,26,2,1150830.0,1899387.0,2025,5/19/2025 15:43,41.87981174,-87.72163596,"(41.879811736, -87.721635956)",11.0,21572.0,27.0,736.0,23.0,30.0,16.0,82.0,8.333333333333334,11.666666666666668,13.333333333333334
13833039,JJ251652,5/12/2025 0:00,077XX S KINGSTON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,421,4,7,43,14,1194532.0,1854238.0,2025,5/19/2025 15:43,41.75495393,-87.56265753,"(41.754953934, -87.562657533)",43.0,22538.0,39.0,246.0,37.0,24.0,19.0,225.0,48.333333333333336,25.0,38.333333333333336
13832946,JJ251418,5/12/2025 0:00,061XX S DORCHESTER AVE,920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,False,False,314,3,20,42,7,1186592.0,1864695.0,2025,5/19/2025 15:43,41.78384036,-87.59142438,"(41.783840361, -87.59142438)",53.0,22260.0,9.0,426.0,4.0,60.0,18.0,273.0,30.0,6.666666666666667,20.0
13837698,JJ257403,5/12/2025 0:00,080XX S INGLESIDE AVE,890,THEFT,FROM BUILDING,APARTMENT,False,True,631,6,8,44,6,1183958.0,1851950.0,2025,5/19/2025 15:43,41.74892882,-87.60147905,"(41.748928819, -87.60147905)",9.0,21546.0,40.0,247.0,35.0,61.0,20.0,235.0,28.333333333333336,13.333333333333334,18.333333333333336
13833059,JJ251374,5/12/2025 0:00,017XX W 66TH ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,False,False,725,7,16,67,15,1166016.0,1860931.0,2025,5/19/2025 15:43,41.77397388,-87.66697026,"(41.773973882, -87.666970264)",44.0,22257.0,65.0,283.0,3.0,23.0,17.0,204.0,25.0,21.666666666666668,15.0
13833062,JJ251166,5/12/2025 0:00,0000X W 69TH ST,320,ROBBERY,STRONG ARM - NO WEAPON,CTA PLATFORM,False,False,731,7,6,69,3,1177279.0,1859276.0,2025,5/19/2025 15:43,41.76918549,-87.62573242,"(41.769185486, -87.625732415)",31.0,22260.0,67.0,513.0,32.0,11.0,17.0,201.0,26.666666666666668,26.666666666666668,23.333333333333336
13836045,JJ255041,5/12/2025 0:00,072XX N HARLEM AVE,710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,False,False,1611,16,41,9,6,1127387.0,1947464.0,2025,5/19/2025 15:43,42.01216695,-87.80663227,"(42.012166951, -87.806632272)",,4456.0,,653.0,,,,,1.6666666666666667,1.6666666666666667,
