name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Chicago, IL, United States",2025-05-01,69.7,52.1,60,69.7,52.1,60,53.5,79.4,0.285,100,45.83,rain,0,0,35.9,22.9,256,1006,97.4,8.6,39,3.2,2,10,2025-05-01T05:46:20,2025-05-01T19:49:39,0.13,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2025-05-02,59.6,46.6,52,59.6,41.8,50.5,44,74.6,0.008,100,4.17,rain,0,0,21.9,11.1,62.7,1010.8,94.6,8.8,46.3,3.9,2,10,2025-05-02T05:45:01,2025-05-02T19:50:44,0.16,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2025-05-03,53.1,45.7,49.4,53.1,39.7,46.5,38.8,67,0,0,0,rain,0,0,29.7,19.5,25.6,1014.9,74.7,9.9,109.5,9.3,5,10,2025-05-03T05:43:44,2025-05-03T19:51:49,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2025-05-04,57.1,46.3,49.6,57.1,41,46,38.7,67.3,0.103,100,20.83,rain,0,0,30.6,19.4,20.4,1015,87,9.7,55.1,4.8,2,10,2025-05-04T05:42:28,2025-05-04T19:52:54,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2025-05-05,60.1,47.4,52.8,60.1,42.6,50.8,45.9,78.1,0.035,100,12.5,rain,0,0,26.5,18.1,48.3,1015.8,83.7,9.3,57.5,5,3,10,2025-05-05T05:41:13,2025-05-05T19:53:59,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2025-05-06,76.1,46.3,61.6,76.1,43.6,61.2,46.8,62.1,0,0,0,rain,0,0,24.9,15.2,311.9,1015.8,52.3,9.6,109.5,9.6,7,10,2025-05-06T05:40:00,2025-05-06T19:55:03,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2025-05-07,71.4,49.1,58.8,71.4,43.5,58.6,45.2,61.3,0,0,0,,0,0,31.7,18.5,32.9,1017.7,69.4,9.9,98.1,8.5,5,10,2025-05-07T05:38:48,2025-05-07T19:56:07,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2025-05-08,58.1,45.3,51.5,58.1,41.1,48.8,37.4,59.1,0,0,0,rain,0,0,32.7,22.3,32.5,1021.6,55.3,9.9,109.6,9.3,8,10,2025-05-08T05:37:37,2025-05-08T19:57:11,0.37,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2025-05-09,64.5,39.4,53.3,64.5,36.7,52,28.7,44.1,0,0,0,,0,0,18.1,9.8,49.5,1023.2,37.1,9.9,171.8,14.7,9,10,2025-05-09T05:36:28,2025-05-09T19:58:14,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2025-05-10,72.9,49.2,56.7,72.9,44.9,56.6,31.2,38.3,0,0,0,,0,0,33.4,23.6,18,1023.2,24.4,9.9,124.1,10.6,8,10,2025-05-10T05:35:21,2025-05-10T19:59:17,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
